customer_id,category,spend,income_group,adjusted_income,spend_per_month,income_utilization_pct,utilization_group
ATQCUS0001,Entertainment,45144,Low,33178,3762.0,11.34,Very High
ATQCUS0002,Entertainment,39911,Low,31557,3325.92,10.54,Very High
ATQCUS0003,Entertainment,40910,Low,32567,3409.17,10.47,Very High
ATQCUS0004,Entertainment,42729,Low,30283,3560.75,11.76,Very High
ATQCUS0005,Entertainment,39975,Low,31154,3331.25,10.69,Very High
ATQCUS0006,Entertainment,47195,Low,33746,3932.92,11.65,Very High
ATQCUS0007,Entertainment,46903,Low,32504,3908.58,12.02,Very High
ATQCUS0008,Entertainment,39994,Low,31236,3332.83,10.67,Very High
ATQCUS0009,Entertainment,42823,Low,31919,3568.58,11.18,Very High
ATQCUS0010,Entertainment,44711,Low,32976,3725.92,11.3,Very High
ATQCUS0011,Entertainment,41813,Low,30296,3484.42,11.5,Very High
ATQCUS0012,Entertainment,38888,Low,31724,3240.67,10.22,Very High
ATQCUS0013,Entertainment,38214,Low,31142,3184.5,10.23,Very High
ATQCUS0014,Entertainment,21261,Low,19651,1771.75,9.02,Very High
ATQCUS0015,Entertainment,26701,Low,21463,2225.08,10.37,Very High
ATQCUS0016,Entertainment,23663,Low,21474,1971.92,9.18,Very High
ATQCUS0017,Entertainment,23261,Low,19463,1938.42,9.96,Very High
ATQCUS0018,Entertainment,23683,Low,19954,1973.58,9.89,Very High
ATQCUS0019,Entertainment,20082,Low,19854,1673.5,8.43,High
ATQCUS0020,Entertainment,23697,Low,20719,1974.75,9.53,Very High
ATQCUS0021,Entertainment,24209,Low,18888,2017.42,10.68,Very High
ATQCUS0022,Entertainment,22115,Low,19400,1842.92,9.5,Very High
ATQCUS0023,Entertainment,34762,Low,36982,2896.83,7.83,High
ATQCUS0024,Entertainment,32174,Low,37712,2681.17,7.11,High
ATQCUS0025,Entertainment,31075,Low,35130,2589.58,7.37,High
ATQCUS0026,Entertainment,31730,Low,34610,2644.17,7.64,High
ATQCUS0027,Entertainment,28407,Low,35335,2367.25,6.7,Low
ATQCUS0028,Entertainment,29167,Low,35410,2430.58,6.86,Low
ATQCUS0029,Entertainment,35777,Low,36408,2981.42,8.19,High
ATQCUS0030,Entertainment,24050,Low,18421,2004.17,10.88,Very High
